epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,142.479,0.79889,0.69214,0.99878,0.88282,0.57845,0.75485,0.49042,0.70026,0.61633,0.86825,0.0003235,0.0003235,0.0003235
43,145.663,0.69953,0.61518,0.92351,0.88282,0.57845,0.75485,0.49042,0.70026,0.61633,0.86825,0.000307,0.000307,0.000307
44,147.547,0.80147,0.74493,0.97469,0.54354,0.69697,0.81072,0.54412,0.67299,0.54371,0.85988,0.0002905,0.0002905,0.0002905
45,152.373,0.66794,0.65749,0.91062,0.54354,0.69697,0.81072,0.54412,0.67299,0.54371,0.85988,0.000274,0.000274,0.000274
46,155.569,0.69888,0.62752,0.9156,0.54354,0.69697,0.81072,0.54412,0.67299,0.54371,0.85988,0.0002575,0.0002575,0.0002575
47,160.253,0.68154,0.5741,0.94145,0.55894,0.80353,0.81968,0.54419,0.65045,0.49503,0.85395,0.000241,0.000241,0.000241
48,162.729,0.70273,0.59117,0.94975,0.55894,0.80353,0.81968,0.54419,0.65045,0.49503,0.85395,0.0002245,0.0002245,0.0002245
49,165.311,0.74597,0.68186,0.91783,0.57115,0.80808,0.82712,0.55344,0.62757,0.46625,0.84808,0.000208,0.000208,0.000208
50,171.035,0.70613,0.61276,0.91316,0.57115,0.80808,0.82712,0.55344,0.62757,0.46625,0.84808,0.0001915,0.0001915,0.0001915
51,177.672,0.59769,0.58057,0.86924,0.57115,0.80808,0.82712,0.55344,0.62757,0.46625,0.84808,0.000175,0.000175,0.000175
52,181.591,0.64035,0.56797,0.89585,0.58984,0.80808,0.84777,0.5793,0.60223,0.43322,0.83999,0.0001585,0.0001585,0.0001585
53,186.971,0.63211,0.55826,0.86705,0.58984,0.80808,0.84777,0.5793,0.60223,0.43322,0.83999,0.000142,0.000142,0.000142
54,191.084,0.66523,0.6067,0.90276,0.58984,0.80808,0.84777,0.5793,0.60223,0.43322,0.83999,0.0001255,0.0001255,0.0001255
55,193.71,0.6642,0.55327,0.83309,0.69407,0.79798,0.8473,0.58663,0.59551,0.41479,0.8355,0.000109,0.000109,0.000109
56,196.928,0.69407,0.56949,0.91936,0.69407,0.79798,0.8473,0.58663,0.59551,0.41479,0.8355,9.25e-05,9.25e-05,9.25e-05
57,201.167,0.62445,0.4909,0.8628,0.70934,0.79798,0.8473,0.59019,0.59036,0.4075,0.83359,7.6e-05,7.6e-05,7.6e-05
58,204.098,0.6445,0.50483,0.87852,0.70934,0.79798,0.8473,0.59019,0.59036,0.4075,0.83359,5.95e-05,5.95e-05,5.95e-05
59,206.714,0.62825,0.53319,0.85597,0.70934,0.79798,0.8473,0.59019,0.59036,0.4075,0.83359,4.3e-05,4.3e-05,4.3e-05
60,212.019,0.65045,0.51441,0.88539,0.69559,0.79798,0.84701,0.58876,0.58853,0.40922,0.83338,2.65e-05,2.65e-05,2.65e-05
